"","strain","motif_len","pheno","n","metric"
"474","BXD029_trl4","4",0.675287356321839,348,"% expanded"
"475","BXD031","4",0.560821484992101,633,"% expanded"
"476","BXD032","4",0.519427402862986,489,"% expanded"
"477","BXD033","4",0.5625,112,"% expanded"
"478","BXD034","4",0.71,200,"% expanded"
"479","BXD036","4",0.65,160,"% expanded"
"480","BXD038","4",0.658088235294118,272,"% expanded"
"481","BXD039","4",0.674698795180723,166,"% expanded"
"482","BXD040","4",0.629107981220657,213,"% expanded"
"483","BXD042","4",0.665369649805447,257,"% expanded"
"484","BXD043","4",0.722488038277512,209,"% expanded"
"485","BXD044","4",0.801204819277108,166,"% expanded"
"486","BXD045","4",0.730769230769231,208,"% expanded"
"487","BXD048","4",0.641304347826087,184,"% expanded"
"488","BXD048a","4",0.688679245283019,212,"% expanded"
"489","BXD049","4",0.66304347826087,184,"% expanded"
"490","BXD050","4",0.627049180327869,244,"% expanded"
"491","BXD051","4",0.722222222222222,162,"% expanded"
"492","BXD053","4",0.645454545454546,110,"% expanded"
"493","BXD055","4",0.686746987951807,166,"% expanded"
"494","BXD056","4",0.608888888888889,225,"% expanded"
"495","BXD060","4",0.754189944134078,179,"% expanded"
"496","BXD061","4",0.76063829787234,188,"% expanded"
"497","BXD062","4",0.565714285714286,175,"% expanded"
"498","BXD063","4",0.617021276595745,188,"% expanded"
"499","BXD064","4",0.697142857142857,175,"% expanded"
"500","BXD065","4",0.706896551724138,174,"% expanded"
"501","BXD065a","4",0.751412429378531,177,"% expanded"
"502","BXD065b","4",0.733727810650888,169,"% expanded"
"503","BXD066","4",0.673611111111111,144,"% expanded"
"504","BXD067","4",0.594771241830065,153,"% expanded"
"505","BXD068","4",0.622950819672131,183,"% expanded"
"506","BXD069","4",0.770491803278688,183,"% expanded"
"507","BXD070","4",0.701298701298701,154,"% expanded"
"508","BXD071","4",0.741496598639456,147,"% expanded"
"509","BXD073","4",0.728070175438597,114,"% expanded"
"510","BXD073a","4",0.731543624161074,149,"% expanded"
"511","BXD073b","4",0.724770642201835,109,"% expanded"
"512","BXD074","4",0.641304347826087,92,"% expanded"
"513","BXD075","4",0.727810650887574,169,"% expanded"
"514","BXD077","4",0.65979381443299,194,"% expanded"
"515","BXD078","4",0.611888111888112,286,"% expanded"
"516","BXD079","4",0.596774193548387,124,"% expanded"
"517","BXD081","4",0.818181818181818,121,"% expanded"
"518","BXD083","4",0.732057416267943,209,"% expanded"
"519","BXD084","4",0.734104046242775,173,"% expanded"
"520","BXD085","4",0.713375796178344,157,"% expanded"
"521","BXD086","4",0.694736842105263,190,"% expanded"
"522","BXD087","4",0.601036269430052,193,"% expanded"
"523","BXD088","4",0.687898089171974,157,"% expanded"
"524","BXD089","4",0.670731707317073,164,"% expanded"
"525","BXD090","4",0.725146198830409,171,"% expanded"
"526","BXD091","4",0.673684210526316,190,"% expanded"
"527","BXD095","4",0.777777777777778,126,"% expanded"
"528","BXD098","4",0.772486772486772,189,"% expanded"
"529","BXD099","4",0.651898734177215,158,"% expanded"
"530","BXD100","4",0.716981132075472,212,"% expanded"
"531","BXD101","4",0.685714285714286,140,"% expanded"
"532","BXD102","4",0.783333333333333,180,"% expanded"
"533","BXD111","4",0.645161290322581,93,"% expanded"
"534","BXD113","4",0.706666666666667,75,"% expanded"
"535","BXD114","4",0.716666666666667,60,"% expanded"
"536","BXD122","4",0.635294117647059,85,"% expanded"
"537","BXD123","4",0.545454545454545,66,"% expanded"
"538","BXD124","4",0.569444444444444,72,"% expanded"
"539","BXD125","4",0.670886075949367,79,"% expanded"
"540","BXD127","4",0.695121951219512,82,"% expanded"
"541","BXD128","4",0.703125,64,"% expanded"
"542","BXD131","4",0.6625,80,"% expanded"
"543","BXD137","4",0.738095238095238,84,"% expanded"
"544","BXD141","4",0.735849056603774,53,"% expanded"
"545","BXD144","4",0.63768115942029,69,"% expanded"
"546","BXD147","4",0.622950819672131,61,"% expanded"
"547","BXD148","4",0.657142857142857,70,"% expanded"
"548","BXD149","4",0.64,75,"% expanded"
"549","BXD150","4",0.606060606060606,66,"% expanded"
"550","BXD151","4",0.720588235294118,68,"% expanded"
"551","BXD152","4",0.597222222222222,72,"% expanded"
"552","BXD154","4",0.710144927536232,69,"% expanded"
"553","BXD155","4",0.513157894736842,76,"% expanded"
"554","BXD156","4",0.63953488372093,86,"% expanded"
"555","BXD157","4",0.709677419354839,62,"% expanded"
"556","BXD160","4",0.76,100,"% expanded"
"557","BXD161","4",0.615384615384615,91,"% expanded"
"558","BXD162","4",0.626506024096386,83,"% expanded"
"559","BXD168","4",0.643478260869565,115,"% expanded"
"560","BXD169","4",0.621359223300971,103,"% expanded"
"561","BXD170","4",0.688524590163934,61,"% expanded"
"562","BXD171","4",0.601626016260163,123,"% expanded"
"563","BXD172","4",0.725490196078431,102,"% expanded"
"564","BXD173","4",0.663366336633663,101,"% expanded"
"565","BXD174","4",0.645833333333333,96,"% expanded"
"566","BXD175","4",0.615384615384615,52,"% expanded"
"567","BXD176","4",0.62037037037037,108,"% expanded"
"568","BXD177","4",0.734042553191489,94,"% expanded"
"569","BXD178","4",0.77,100,"% expanded"
"570","BXD180","4",0.608695652173913,115,"% expanded"
"571","BXD181","4",0.745762711864407,59,"% expanded"
"572","BXD183","4",0.672566371681416,113,"% expanded"
"573","BXD184","4",0.666666666666667,87,"% expanded"
"574","BXD186","4",0.621621621621622,111,"% expanded"
"575","BXD187","4",0.688311688311688,77,"% expanded"
"576","BXD190","4",0.602040816326531,98,"% expanded"
"577","BXD191","4",0.651515151515151,66,"% expanded"
"578","BXD195","4",0.714285714285714,91,"% expanded"
"579","BXD196","4",0.6125,80,"% expanded"
"580","BXD197","4",0.5625,64,"% expanded"
"581","BXD198","4",0.7,70,"% expanded"
"582","BXD199","4",0.626506024096386,83,"% expanded"
"583","BXD201","4",0.540983606557377,61,"% expanded"
"584","BXD202","4",0.646341463414634,82,"% expanded"
"585","BXD204","4",0.670886075949367,79,"% expanded"
"586","BXD205","4",0.68,75,"% expanded"
"587","BXD209","4",0.693333333333333,75,"% expanded"
"588","BXD211","4",0.7,80,"% expanded"
"589","BXD213","4",0.677777777777778,90,"% expanded"
"590","BXD214","4",0.566666666666667,60,"% expanded"
"591","BXD215","4",0.516666666666667,60,"% expanded"
"592","BXD216","4",0.611764705882353,85,"% expanded"
"593","BXD217","4",0.696969696969697,66,"% expanded"
"594","BXD218","4",0.506849315068493,73,"% expanded"
"595","BXD219","4",0.662337662337662,77,"% expanded"
"596","BXD221","4",0.575757575757576,33,"% expanded"
"597","BXD222","4",0.761904761904762,42,"% expanded"
"598","BXD223","4",0.666666666666667,42,"% expanded"
"599","BXD224","4",0.742857142857143,35,"% expanded"
"600","BXD225","4",0.703703703703704,27,"% expanded"
"601","BXD226","4",0.671232876712329,73,"% expanded"
"602","BXD227","4",0.596774193548387,62,"% expanded"
