"","strain","motif_len","pheno","n","metric"
"99","BXD151","4",0.000975385851167594,68,"% denovo"
"100","BXD152","4",0.001063232818453,72,"% denovo"
"101","BXD154","4",0.00102538191761279,69,"% denovo"
"102","BXD155","4",0.00109073165131031,76,"% denovo"
"103","BXD156","4",0.00123639604928332,86,"% denovo"
"104","BXD157","4",0.00090381643779702,62,"% denovo"
"105","BXD160","4",0.00150625094140684,100,"% denovo"
"106","BXD161","4",0.00132450331125828,91,"% denovo"
"107","BXD162","4",0.0011922204027694,83,"% denovo"
"108","BXD168","4",0.0016191025947879,115,"% denovo"
"109","BXD169","4",0.00172335904428865,103,"% denovo"
"110","BXD170","4",0.00129155197967394,61,"% denovo"
"111","BXD171","4",0.00181466782726723,123,"% denovo"
"112","BXD172","4",0.00157220586648581,102,"% denovo"
"113","BXD173","4",0.00160671958766167,101,"% denovo"
"114","BXD174","4",0.00147469968355403,96,"% denovo"
"115","BXD175","4",0.0011864561467555,52,"% denovo"
"116","BXD176","4",0.0015552099533437,108,"% denovo"
"117","BXD177","4",0.00135160395128474,94,"% denovo"
"118","BXD178","4",0.00144139988757081,100,"% denovo"
"119","BXD180","4",0.00172044941130709,115,"% denovo"
"120","BXD181","4",0.00117827971162103,59,"% denovo"
"121","BXD183","4",0.00162594607039051,113,"% denovo"
"122","BXD184","4",0.00152829989811334,87,"% denovo"
"123","BXD186","4",0.0016225935183967,111,"% denovo"
"124","BXD187","4",0.00129277055840972,77,"% denovo"
"125","BXD190","4",0.00146299226704087,98,"% denovo"
"126","BXD191","4",0.000959176851865308,66,"% denovo"
"127","BXD195","4",0.00128529258061327,91,"% denovo"
"128","BXD196","4",0.00114352692291199,80,"% denovo"
"129","BXD197","4",0.00112103695918725,64,"% denovo"
"130","BXD198","4",0.00100479430425172,70,"% denovo"
"131","BXD199","4",0.0012556162352692,83,"% denovo"
"132","BXD201","4",0.000920282421097097,61,"% denovo"
"133","BXD202","4",0.00118007684890699,82,"% denovo"
"134","BXD204","4",0.00113541636724252,79,"% denovo"
"135","BXD205","4",0.00108062935853841,75,"% denovo"
"136","BXD209","4",0.00104451005515013,75,"% denovo"
"137","BXD211","4",0.00114320010288801,80,"% denovo"
"138","BXD213","4",0.00127768313458262,90,"% denovo"
"139","BXD214","4",0.00120057627661277,60,"% denovo"
"140","BXD215","4",0.00130361100247686,60,"% denovo"
"141","BXD216","4",0.0015535613108402,85,"% denovo"
"142","BXD217","4",0.00104468398309511,66,"% denovo"
"143","BXD218","4",0.0011828950140165,73,"% denovo"
"144","BXD219","4",0.00112757731958763,77,"% denovo"
"145","BXD221","4",0.000570835495588998,33,"% denovo"
